userid, newsid
10000852,100655208
10000852,100654615
10002994,100654615
10002994,100654294
10004082,100655208
10004082,100654615
1000532,100652367
1000532,100652447
10006255,100655208
10006255,100654615
1000637,100646808
1000637,100647737
10007071,100655208
10007071,100654615
1000723,100646808
1000723,100647737
10007979,100657878
10007979,100658513
1000803,100646808
1000803,100647737
10011369,100657423
10011369,100656910
10011951,100655208
10011951,100654615
10012240,100655208
10012240,100654615
10012578,100655208
10012578,100654615
10014222,100655208
10014222,100654615
10015850,100655208
10015850,100654615
100162,100650872
100162,100651048
10016575,100657878
10016575,100658513
10017670,100655208
10017670,100655704
10018712,100655208
10018712,100654615
10019090,100655208
10019090,100654615
10020002,100654615
10020002,100654294
10020223,100655208
10020223,100654615
10020262,100655208
10020262,100654615
10021118,100654615
10021118,100654294
10022088,100657423
10022088,100656910
10022149,100654615
10022149,100654294
10022460,100654615
10022460,100654294
10024203,100655208
10024203,100654615
1002487,100649791
1002487,100649739
1002682,100646808
1002682,100647737
1002696,100652367
1002696,100651048
10027277,100655208
10027277,100654615
10028227,100654615
10028227,100654294
10028722,100655208
10028722,100655704
10029292,100655208
10029292,100654615
1003109,100646808
1003109,100647737
1003212,100646808
1003212,100647737
1003427,100646808
1003427,100647737
1003467,100652367
1003467,100651048
1003541,100646808
1003541,100647737
1003554,100655208
1003554,100654615
10035788,100655208
10035788,100654615
10036107,100655208
10036107,100654615
10036524,100655208
10036524,100654615
10038458,100657423
10038458,100657878
1004057,100646808
1004057,100647737
10040717,100654615
10040717,100654294
10041618,100654615
10041618,100654294
10042654,100655208
10042654,100654615
10042921,100655208
10042921,100654615
100453,100646808
100453,100647737
1004568,100649791
1004568,100649739
10048432,100654615
10048432,100654294
1004909,100655208
1004909,100655704
10050317,100654615
10050317,100654294
10050352,100654615
10050352,100654294
10050388,100657878
10050388,100658513
10050429,100655208
10050429,100654615
1005704,100646808
1005704,100647737
1005891,100646808
1005891,100647737
1006004,100655208
1006004,100655704
10060113,100655208
10060113,100654615
10060350,100657423
10060350,100656910
1006411,100646808
1006411,100647737
1006489,100646808
1006489,100647737
10064930,100655208
10064930,100654615
10065274,100654615
10065274,100654294
1006817,100646808
1006817,100647737
10068501,100655208
10068501,100654615
10069332,100654615
10069332,100654294
10070574,100654615
10070574,100654294
1007513,100646808
1007513,100647737
1007544,100646808
1007544,100647737
10075535,100655208
10075535,100654615
1008115,100646808
1008115,100647737
1008426,100646808
1008426,100647737
10086066,100654615
10086066,100654294
100862,100645330
100862,100646695
10094201,100657423
10094201,100656910
10100709,100657423
10100709,100656910
10101709,100654615
10101709,100654294
1010314,100646808
1010314,100647737
10103704,100657878
10103704,100658513
1010440,100652367
1010440,100652447
1010525,100646808
1010525,100647737
10106103,100654615
10106103,100654294
10107108,100654615
10107108,100654294
1011075,100646808
1011075,100647737
10111179,100655208
10111179,100654615
10112155,100655208
10112155,100654615
1011320,100646808
1011320,100647737
1011411,100657878
1011411,100658513
10114732,100654615
10114732,100654294
1012024,100648778
1012024,100647737
10120902,100655208
10120902,100654615
1012575,100646808
1012575,100647737
10126174,100657423
10126174,100656910
1012968,100649791
1012968,100649739
1013023,100650872
1013023,100650718
1013506,100650872
1013506,100650718
1013575,100646808
1013575,100647737
1013772,100646808
1013772,100647737
10139953,100654615
10139953,100654294
10143796,100654615
10143796,100654294
10144493,100655208
10144493,100654615
1014682,100646808
1014682,100647737
1015387,100649791
1015387,100649739
10154294,100655704
10154294,100656910
1015636,100650872
1015636,100650718
10158787,100655704
10158787,100656910
10158934,100654615
10158934,100654294
1015992,100646808
1015992,100647737
10164832,100655208
10164832,100655704
1017140,100646808
1017140,100647737
10178381,100654615
10178381,100654294
1017992,100654615
1017992,100654294
1018351,100657878
1018351,100658513
1018554,100646808
1018554,100647737
1018796,100657878
1018796,100658513
10190064,100655208
10190064,100655704
10190447,100655704
10190447,100656910
10191399,100655208
10191399,100654615
1019235,100646808
1019235,100647737
1019413,100646808
1019413,100647737
1019459,100648778
1019459,100647737
1019670,100646808
1019670,100647737
1019709,100655208
1019709,100655704
1019792,100646808
1019792,100647737
1020220,100649791
1020220,100648778
10202297,100654615
10202297,100654294
1020293,100655704
1020293,100656910
1020333,100646808
1020333,100647737
1020541,100646808
1020541,100647737
1021344,100654615
1021344,100654294
1021834,100646808
1021834,100647737
1021958,100649791
1021958,100649739
1021995,100655208
1021995,100654615
1022166,100646808
1022166,100647737
10224404,100655208
10224404,100655704
1023207,100646808
1023207,100647737
1023517,100646808
1023517,100647737
1023804,100646808
1023804,100647737
10238492,100655208
10238492,100654615
1023974,100646808
1023974,100647737
1024018,100646808
1024018,100647737
1024679,100657878
1024679,100658513
10247932,100657423
10247932,100656910
1025910,100646808
1025910,100647737
1025958,100646808
1025958,100647737
1026267,100650872
1026267,100651048
1026732,100646808
1026732,100647737
1026946,100646808
1026946,100647737
1027854,100649791
1027854,100649739
1028026,100650872
1028026,100650718
